"estabelecimento","total gasto"
"D.M. SIMEIRO - HOTEL - ME",6600
"HOTELÉO - HOTÉIS E TURISMO LTDA-LEON PARK",6570
"HOTEL SAMAÚMA LTDA",6510
"PLENA HOTÉIS LTDA","6498,27"
"MENDES PLAZA HOTEL",6490
"VILLE ATLÂNTICO HOTÉIS E TURISMO LTDA",6412
"ITAMARATY HOTÉIS LTDA",6410
"MERIT PLAZA HOTEL LTDA","6376,12"
"RESULTS ASSESSORIA E ADMINISTRAÇÃO LTDA.","6310,5"
"HOTEL DEVILLE CUIABA","6260,2"
"EJS HOTEIS E TURISMO S/A",6248
"HOTEL ANACÃ SÃO CARLOS LTDA",6210
"ISLAMAR HOTEIS LTDA","6197,5"
"CARUARU PARK HOTEL LTDA",6196
"MESQUITA ADM. DE HOTEIS LTDA (HOTEL CANTO DA FLORESTA)","6177,6"
"PLENA HÓTEIS LTDA","6152,19"
"M.P.A. HOTELARIA E TURISMO LTDA",6150
"SODER HOTEL LTDA",6150
"LE PREVILEGE ADMINISTRADORA DE HOTÉIS E CONDOMÍNIOS LTDA",6105
"HOTEL IMPERATRIZ",6060
"JR HOTEL LTDA",6030
"M.N. VASCONCELOS LIMA",6020
"POUSADA LAS PALMEIRAS",5925
"DEL REY HOTEL LTDA",5880
"HOTEL CONSULTING ADMINISTRAÇÃO E SERVIÇOS S/C LTDA","5845,45"
"F. DOS SANTOS BARBOSA HOTEL",5790
"CARLOS ALBERTO ZEVARX - ME",5740
"PRATAS PARK HOTEL LTDA.",5710
"MARROQUIM HOTEIS E TURISMO LTDA","5707,9"
"DE ROSE HOTÉIS E TURISMO LTDA",5665
"NEW LIFE PIRACICABA",5642
"HOTEL PAMPIANO LTDA",5640
"HOTEL PARQUE DOS COQUEIROS","5632,9"
"PERICLES AMARAL BRANDÃO E FILHOS LTDA","5625,9"
"ITAGY HOTEL","5546,38"
"HOTEL POUSADA SOLAR DA ÓPERA LTDA",5539
"COMERCIAL LUPO S/A",5490
"VERDE HOTEIS LTDA - ME","5429,45"
"HOTEL CURITIBA CAPITAL S/A",5428
"HOTEL TURISMAR","5262,5"
"SANDRA TURISMO HOTEIS S/A",5240
