"estabelecimento","total gasto"
"HOTEL PEDRA NEGRA LTDA",2275
"MARIN & ARMANI LTDA EPP - RESTAURANTE CONCEIÇÃO",2266
"LANCHONETE BARDOT LTDA. - ME","2263,6"
"ASSOCIAÇÃO LUSO-BRASILEIRA CLUBE ESTORIAL","2251,3"
"MARIA DA GLÓRIA DO AMARANTE SILVA","2244,6"
"PELOTAS HOTEIS MANTA","2209,46"
"HILTON DO BRASIL LTDA",2208
"CARLOS WALTER ALVES SANTOS",2175
"J.A.D ARAÚJO & CIA",2171
"ISAIAS RODRIGUES MORORÓ",2170
"FERREIRA E ALMEIDA REST E CHOPERIA LTDA",2162
"ANTONIO ERISVALDO LINHARES PONTE",2125
"G. ARAUJO &CIA LTDA","2114,8"
"COREMEL COMERCIAL DE ALIMENTOS LTDA","2080,5"
"MARAJA PÃO LTDA",2075
"CHURRASCARIA O LAÇADOR LTDA","2041,93"
"ABOUL & HOSN LTDA - ME",2032
"AIPO COPA RESTAURANTE LTDA - SOLÁRIO","2028,5"
"MARÉ MANSA RESTAURANTE E CHOPERIA LTDA",2028
"SILVA & BORBA RESTAURANTE LTDA","2017,35"
"IRMÃOS PINHEIRO HOTEIS E TURISMO LTDA.",2016
"HERMES SOARES GOMES",2000
"EJS HOTEIS E TURISMO S/A",1993
"CONVENTO DO CARMO S/A","1979,06"
"BAR CABANAS LTDA",1976
"J.F. MARTINS & CIA LTDA",1976
"RESTAURANTE PORTO ALEGRE","1969,6"
"FORMIPAN INDUSTRIA DE PÃO LTDA",1960
"ORIENT-EXPRESS HOTELS BRASIL S.A","1951,3"
"JUDITE MARIA KORTE (RESTAURANTE) EM FRENTE AO AEROPORTO",1950
"NEIDE DOS SANTOS HINO ME",1931
"H. O.   DE SÁ - ME",1930
"JULIO C. LELIS MOREIRA - ME",1926
"MANIA DE COMER BEM",1920
"J. E. ALIMENTOS LTDA","1916,55"
"PANOFF","1898,7"
"ÂNGELO EDELBERTO GONZAGA DE ARAÚJO",1890
"CRIS COMÉRCIO DE ALIMENTOS LTDA",1890
"SUPERMERCADO BEPLER LTDA",1890
"BPS TURISMO LTDA - HOTEL COROADOS",1881
"COLINA COMÉRCIO DISTRIBUIDORA LTDA","1878,08"
"CAFÉS FINOS BELÉM LTDA","1876,6"
"O PÃO NOBRE BRASIL NORTE LTDA","1864,39"
"SIBÉLIA NOVAES VIANA",1860
"GRAN COFFEE",1842
"PADARIA EXCELSIOR LTDA",1842
"CAMILA FURLAN DA COSTA ME",1841
"PADARIA E CONFEITARIA HAITI LTDA.",1836
"COMFOR COMERCIO FORNECIMENTO E SERVIÇOS LTDA","1829,8"
"CARREFOUR COMERCIO E INDÚSTRIA","1829,4"
"DECARLI & DALLABRIDA LTDA - MERCADO DO COLONO",1826
"CERQUEIRA & SILVA LTDA",1818
"RAMOS & SANTOS LTDA - ME",1815
"MCDONALD'S COMERCIO DE ALIMENTOS LTDA","1807,6"
"JOÃO ANGELO PASINI",1800
"L.C PEREIRA BAR - MEE",1800
"SUPERMERCADO REI DO ARROZ LTDA","1780,16"
"PADILHA & PEREIRA RESTAURANTE LTDA",1766
"LIVRAMENTO PALACE HOTEL LTDA",1752
"PETRALCO COMERCIO DE ALIMENTOS LTDA","1745,15"
"TOQUETÃO E TOQUETÃO LTDA ME",1745
"RESTAURANTE MOSTEIRO LTDA.",1730
"A.M.R. MAIA IMP. EXP. MERCANTIL NOVA VIDA","1726,06"
"SILVA & QUEIROZ LTDA","1719,5"
"J C LIMA SANTOS",1710
"RESTAURANTE ATLÂNTICO SUL",1710
"FLOR DO CERRADO RESTAURANTE",1708
"A.C.M. TORRES COM. E SERVIÇOSS","1704,5"
"BOMPREÇO SUPERMERCADOS NE LTDA","1703,31"
"R. J. CARDINAL LTDA","1699,64"
"INACIO'S RESTAURANTE LTDA","1683,21"
"ALAMEDA PARK S/A - RESTAURANTES E SERVIÇOS TURISTICOS",1680
"SABOR LATINO RESTAURANTE LTDA","1678,4"
"HUMBERTO GURGEL PINTO - ME","1664,5"
"PARK BLUMENAU RESTAURANTE LTDA - ME",1650
"CAQUI CAFÉ RESTAURANTE LTDA",1633
"COOPERATIVA AGRÍCOLA DE CAMPO GRANDE","1630,92"
"DEL MAR (COSIL HOTEIS E TURISMO S.A)","1630,8"
"PESTANA CURITIBA","1626,02"
"PANIFICADORA CACIQUE LTDA",1626
"SONAE DISTRIBUIÇÃO BRASIL S.A.","1600,32"
"LAGO HOTEL LTDA",1590
"LE VILLE PÃES E DOCES LTDA","1578,2"
"EMANUEL PATRICIO FERREIRA DE ANDRADE - PESCADOS - ME",1577
"RESTAURANTE ECOLÓGICO N. S. APARERCIDA",1575
"MOACIR ALFREDO BENTO - ME",1573
"PANIFICADORA TANGARÁ LTDA - EPP",1560
"HOTÉIS OTHON S/A","1555,5"
"OCEANO PRAIA HOTEL LTDA",1550
"PESSI COMERCIO DE LANCHES LTDA","1541,52"
"SUPERMERCADO NORDESTÃO LTDA","1540,11"
"NEW LIFE","1536,6"
"CLUBE ATLÉTICO MONTE LÍBANO",1533
"CASA DE LANCHES CRAVO PAULISTA LTDA. - EPP","1532,99"
"NSA COMERCIO E ALIMENTAÇÃO-MCDONALD'S","1525,45"
"JOSÉ GERALDO QUINTINO DA SILVA",1520
"PANIFICADORA E CONFEITARIA KI-PÃO",1515
"PONTO 28 PAES E DOCES",1500
"BUFFET ELDORADO","1499,4"
"S SATO & CIA LTDA","1487,7"
"MCDONALD'S COMÉRICO DE ALIMENTOS LTDA","1487,5"
"SUPERMERCADO QUATRO AMIGOS LTDA - ME",1485
"PANIFÍCIO MATINA LTDA","1484,6"
"ANJOS E GOMES LTDA",1480
"PRATO SETE REFEIÇÕES CASEIRAS LTDA",1474
"SESC - SERVIÇO SOCIAL DO COMÉRCIO","1451,45"
"F. ELIAS DE MENDONÇA - ME","1451,4"
"CERVEJARIA RESTAURANTE FARRO BEER LTDA.",1449
"BP BRASIL ENTRETENIMENTOS",1440
"CLÁUDIA DE SOUSA DA CUNHA - ME",1440
"KIPIZZAS ROMA DO PARAISO LTDA ME",1440
"PADARIA DOCE SABOR",1430
"MIRACRUZ PANIFICAÇÃO LTDA. EPP","1427,85"
"LA GUSTOSA RESTAURANTE LTDA",1423
"PANIFICADORA E MERCEARIA TUPY","1413,6"
"HBS HOTELARIA LTDA","1413,5"
"WMS SUPERMERCADOS DO BRASIL","1412,26"
"PSEG-PNX ADMINISTRAÇÃO DE HOTEIS E RESTAURANTES LTDA",1406
"J.F. RESTAURANTE LTDA",1403
"L. FERNANDES BARBOSA PADARIA - ME",1400
"INTERCONTINENTAL HOTELARIA LTDA",1399
"GATEGOURMET","1387,96"
"HOTEL RIO PARNAÍBA LTDA",1386
"FERNANDA CRISTINA MASETTO BUENO ME","1382,4"
"BRIGADEIRO GRILL RESTAURANTE LTDA",1380
"JOÃO EUDES DOS SANTOS",1380
"MERCADINHIO FREIGORIFICO POTY LTDA","1377,02"
"LUIZ MORAIS DE OLIVEIRA",1369
"C.P. TEDESCHI & CIA LTDA ME",1368
"SENDAS DISTR S/A","1362,5"
"PASTELICIA TROPICAL LTDA",1358
"MAURA ELY MARQUES",1357
"CHURRASCARIA CASTELINHO DO SUL LTDA",1350
"ROMILDA ALVES DO CARMO 7 CIA LTDA - ME",1350
"ROWE LTDA","1347,44"
"LB CATERING RESTAURANTE LTDA","1346,5"
"RESTAURANTE QUERO MAIS LTDA","1346,4"
"RESTAURANTE PONTO DA CHULETA LTDA - ME",1342
"ROZANDEA ARAÚJO SOARES- SUPER COSMOS","1328,78"
"TANIA RODRIGUES SOARES","1327,24"
"RESTAURANTE E CHURRASCARIA CASA DO GAUCHO LTDA",1326
"EMAF - COMIDAS TÍPICAS LTDA","1306,2"
"BRASILTON BELÉM HOTÉIS E TURISMO S.A.","1302,75"
"PANIFICADORA E CONFEITARIA PINHEIRAIS","1301,4"
"DE ROSE HOTÉIS E TURISMO LTDA",1300
"CATARINA FONSECA COELHO",1297
"DOMINGOS RODRIGUES E CIA LTDA",1293
"SHELTON INN HOTEL ARARAQUARA LTDA",1292
"LANCHONETE E RESTAURANTE NOVA BARCELOS LTDA",1290
"RESTAURANTE DA LICENÇA LTDA",1290
"LIDER SUPERMERCADOS E MAGAZINE LTDA","1288,26"
"BARRA POINT RESTAURANTE LTDA","1287,8"
"OLIVEIRA E AQUINO LTDA",1280
"YAMADA S/A COMERCIO E INDUSTRIA.","1276,1"
"LANCHONETE E RESTAURANTE MORADO DO SOL LTDA",1260
"RESTAURANTE E CONVENIENCIA SABOR LTDA",1256
"RESTAURANTE PIZZARIA DOS MAGO LTDA",1242
"CHURRASCARIA DO TREVO",1240
"PETRO POSTOS DE ABASTECIMENTO LTDA",1232
"MC DONALD'S COMERCIO DE ALIMENTOS LTDA",1231
"PATEO MOINHOS ADM. E PARTICIPAÇÕES LTDA","1230,54"
"CHURRASQUETO E GALETO BICÃO LTDA",1221
"GERMANA BRAGA & BRAGA LTDA - EPP",1220
"GIASSI & CIA LTDA","1218,36"
"HOTEL ILHA DE SANTO AMARO LTDA - STRAND","1205,6"
"BARBÃO AMERICAN BAR LTDA - ME","1202,4"
"ATLANTICA HOTELS INTERNACIONAL BRASIL LTDA",1200
"C.A GRAVINA PANIFICADORA LTDA",1200
"GUERINI E FILHO LTDA",1200
"BAR FJC LTDA","1198,5"
"FORÇA 7 ARTIGOS NÁUTICOS LTDA","1195,44"
"GRAN ROMA COMÉRCIO DE ALIMENTOS LTDA",1194
"RECANTO DA PARAIBA LTDA - EPP","1189,5"
"CHURRASCARIA & PIZZARIA TRADIÇÃO DOS PAMPAS LTDA",1188
